19-197101,http://tshop.r10s.jp/akibamac/cabinet/04525799/4958892016349.jpg?fitin=700:700,11800.0000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > LANケーブル,【送料無料】ＳＡＥＣサエクコマース オーディオ用カテゴリ6 LANケーブル(4m)SLA-500/4.0 (SLA5004.0),,SUPRA社のオリジナルOFC導体を採用し、ロスの無いデジタル伝送を確保するとともに、音質に影響する部分には長年のオーディオケーブル創りの中で培ったサエクコマースとSUPRAのノウハウを投入して完成させたオーディオ用LANケーブルです。,【送料無料】ＳＡＥＣサエクコマース オーディオ用カテゴリ6 LANケーブル(4m)SLA-500/4.0 (SLA5004.0)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン【送料無料】ＳＡＥＣサエクコマース オーディオ用カテゴリ6 LANケーブル(4m)SLA-500/4.0 (SLA5004.0),【送料無料】ＳＡＥＣサエクコマース オーディオ用カテゴリ6 LANケーブル(4m)SLA-500/4.0 (SLA5004.0)[rn]
19-197112,http://tshop.r10s.jp/akibamac/cabinet/05264069/4953103292840.jpg?fitin=700:700,373.6000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > LANケーブル,エレコムカテゴリー6対応 LANケーブル （爪折れ防止・ブラック・1m） LD-C6T/BK10 (LDC6TBK10),,■ツメ折れ防止プロテクタと屈曲に対する耐久性が高い新素材コネクタを採用したダブル構造で、通常の使用環境では絶対にツメが折れないLANケーブルです。※1000回の屈曲検査に合格(メーカー検証)<br>■ツメ折れによるケーブルの脱落が防げ、長期にわたってしっかりとLANポートに固定することができます。<br>■カテゴリー6に対応したスタンダードなLANケーブルです。<br>■1000BASE-TXや1000BASE-Tといったギガビットでも、安定したネットワーク環境を実現可能です。<br>■周波数帯域250MHzを保証し、ギガビット・イーサネットの高速通信に最適です。<br>■十字介在をなくしたツイストペア(ヨリ対線)仕様なので、柔らかく取り回しが簡単で、狭い場所での敷設も容易です。<br>■隣接するポートに干渉することがないスリムコネクタを採用しています。<br>■EUの「RoHS指令(電気・電子機器に対する特定有害物質の使用制限)」に準拠した環境にやさしい製品です。<br><br>【製品仕様】<br>カラー：ブラック<br>インターフェイス：RJ-45コネクター<br>環境配慮事項：EU RoHS指令準拠<br>規格：Cat6対応(10BASE-T/100BASE-TX/1000BASE-T/1000BASE-TX対応)<br>伝送速度：1Gbps<br>伝送帯域：250MHz<br>ケーブル長：1m<br>ケーブル太さ：5.5mm<br>芯数：8芯<br>結線方式：ストレート結線<br>ヨリ対芯線(ツイストペアケーブル)：○<br>外部シース(被膜)材質：PVC<br>導体構成：ヨリ線<br>コネクタ有無：両端コネクター付<br>モールド加工コネクタ：○<br>スリムコネクタ：○<br>爪折れ防止カバー付コネクタ：○<br>パッケージ形態：アルミ箔袋+ステッカー<br>爪の折れないコネクタ：○<br>PoE：○,エレコムカテゴリー6対応 LANケーブル （爪折れ防止・ブラック・1m） LD-C6T/BK10 (LDC6TBK10)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンエレコムカテゴリー6対応 LANケーブル （爪折れ防止・ブラック・1m） LD-C6T/BK10 (LDC6TBK10),エレコムカテゴリー6対応 LANケーブル （爪折れ防止・ブラック・1m） LD-C6T/BK10 (LDC6TBK10)[rn]
19-197113,http://tshop.r10s.jp/akibamac/cabinet/04613487/4953103482449.jpg?fitin=700:700,437.6000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > LANケーブル,エレコム カテゴリー6対応LANケーブル ツメ折れ防止スーパースリム（1m・ホワイト） LDGPSST/WH10 (LDGPSSTWH10),,直径わずか3.0mmのスーパースリムケーブルと、ショートコネクタを採用したカテゴリー6準拠のLANケーブル。,エレコム カテゴリー6対応LANケーブル ツメ折れ防止スーパースリム（1m・ホワイト） LDGPSST/WH10 (LDGPSSTWH10)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンエレコム カテゴリー6対応LANケーブル ツメ折れ防止スーパースリム（1m・ホワイト） LDGPSST/WH10 (LDGPSSTWH10),エレコム カテゴリー6対応LANケーブル ツメ折れ防止スーパースリム（1m・ホワイト） LDGPSST/WH10 (LDGPSSTWH10)[rn]
19-197114,http://tshop.r10s.jp/akibamac/cabinet/01800109/4953103202627.jpg?fitin=700:700,668.8000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > LANケーブル,ELECOM/エレコムLANケーブル（15m・ブルー・ストレート・カテゴリ5e・より線・UTP）LD-CTY/BU15,,●やわらかくて配線スッキリ！エンハンスド・カテゴリー5準拠LANケーブル●断線しにくく取り回しやすいヨリ線仕様●隣のポートに干渉しないスリムコネクタ！●爪が折れにくいプロテクタ付きコネクタを採用していますので、安心してコネクタの着脱を行えます。●ADSL/FTTH/CATV/ISDN環境にも対応,ELECOM/エレコムLANケーブル（15m・ブルー・ストレート・カテゴリ5e・より線・UTP）LD-CTY/BU15：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンELECOM/エレコムLANケーブル（15m・ブルー・ストレート・カテゴリ5e・より線・UTP）LD-CTY/BU15,ELECOM/エレコムLANケーブル（15m・ブルー・ストレート・カテゴリ5e・より線・UTP）LD-CTY/BU15[rn]
19-197115,http://tshop.r10s.jp/akibamac/cabinet/04185195/4969887565261.jpg?fitin=700:700,1178.4000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > LANケーブル,サンワサプライKB-T6POE-05 PoE CAT6LANケーブル（5m・ライトグレー） (KBT6POE05),,LANケーブル1本で機器への通信と電力供給が可能なPOE完全対応CAT6LANケーブル。5m・ライトグレー。,サンワサプライKB-T6POE-05 PoE CAT6LANケーブル（5m・ライトグレー） (KBT6POE05)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンサンワサプライKB-T6POE-05 PoE CAT6LANケーブル（5m・ライトグレー） (KBT6POE05),サンワサプライKB-T6POE-05 PoE CAT6LANケーブル（5m・ライトグレー） (KBT6POE05)[rn]
19-197116,http://tshop.r10s.jp/akibamac/cabinet/03659710/4969887565841.jpg?fitin=700:700,1840.0000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > LANケーブル,サンワサプライ KB-T6TS-20BL カテゴリ6対応つめ折れ防止LANケーブル(ストレート/20m/ブルー) (KBT6TS20BL),,ツメが折れない三重構造コネクタ採用、ギガビットイーサネット完全対応カテゴリ6LANケーブル。,サンワサプライ KB-T6TS-20BL カテゴリ6対応つめ折れ防止LANケーブル(ストレート/20m/ブルー) (KBT6TS20BL)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンサンワサプライ KB-T6TS-20BL カテゴリ6対応つめ折れ防止LANケーブル(ストレート/20m/ブルー) (KBT6TS20BL),サンワサプライ KB-T6TS-20BL カテゴリ6対応つめ折れ防止LANケーブル(ストレート/20m/ブルー) (KBT6TS20BL)[rn]
19-197117,http://tshop.r10s.jp/akibamac/cabinet/03927892/4969887566633.jpg?fitin=700:700,1048.0000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > LANケーブル,サンワサプライKB-T7ME-03BKW カテゴリー7・10ギガビットイーサネット対応 LANケーブル (3m/ブラック＆ホワイト) (KBT7ME03BKW),,安心のつめ折れ防止コネクタと、丈夫で取り回しの良い細径メッシュ採用の10G対応CAT7LANケーブル。,サンワサプライKB-T7ME-03BKW カテゴリー7・10ギガビットイーサネット対応 LANケーブル (3m/ブラック＆ホワイト) (KBT7ME03BKW)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンサンワサプライKB-T7ME-03BKW カテゴリー7・10ギガビットイーサネット対応 LANケーブル (3m/ブラック＆ホワイト) (KBT7ME03BKW),サンワサプライKB-T7ME-03BKW カテゴリー7・10ギガビットイーサネット対応 LANケーブル (3m/ブラック＆ホワイト) (KBT7ME03BKW)[rn]
19-197118,http://tshop.r10s.jp/akibamac/cabinet/04185195/4969887841839.jpg?fitin=700:700,548.8000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > LANケーブル,サンワサプライカテゴリー6対応 クロスLANケーブル （ブルー・3.0m） KB-T6L-03BLCK (KBT6L03BLCK),,"［CAT6、3.0m、ブルー］
ギガビットイーサネット完全対応、高性能カテゴリ6クロスLANケーブル。",サンワサプライカテゴリー6対応 クロスLANケーブル （ブルー・3.0m） KB-T6L-03BLCK (KBT6L03BLCK)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンサンワサプライカテゴリー6対応 クロスLANケーブル （ブルー・3.0m） KB-T6L-03BLCK (KBT6L03BLCK),サンワサプライカテゴリー6対応 クロスLANケーブル （ブルー・3.0m） KB-T6L-03BLCK (KBT6L03BLCK)[rn]
19-197119,http://tshop.r10s.jp/akibamac/cabinet/05264069/4953103293335.jpg?fitin=700:700,748.8000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > LANケーブル,エレコムカテゴリー6対応 やわらかLANケーブル ツメ折れ防止 （ホワイト・5m） LD-C6YT/WH50 (LDC6YTWH50),,〔LANケーブル〕<br>プロテクタと新素材コネクタ採用のダブル構造で通常の使用環境では絶対にツメが折れない！<br>周波数帯域250MHzを保証するギガビット・イーサネットに対応。<br>ケーブルが柔かく取り回しがしやすい、カテゴリー6に準拠したやわらかLANケーブル。<br>※1000回の屈曲検査合格(エレコム社検証)<br><br>■ ツメ折れ防止プロテクタと屈曲に対する耐久性が高い新素材コネクタを採用したダブル構造で、通常の使用環境では絶対にツメが折れないLANケーブルです。※1000回の屈曲検査に合格(当社検証)  <br>■ ツメ折れによるケーブルの脱落が防げ、長期にわたってしっかりとLANポートに固定することができます。  <br>■ 1000BASE-TXや1000BASE-Tといったギガビットでも、安定したネットワーク環境を実現するカテゴリー6に準拠しています。  <br>■ 周波数帯域250MHzを保証し、ギガビット・イーサネットの高速通信に最適です。  <br>■ ケーブルがやわらかく、取り回しがしやすいのでスッキリと配線できます。  <br>■ ケーブル内に十字介在を入れることで信号の干渉を防止し、安定したデータ転送を実現します。  <br>■ 単線に比べてやわらかく、取り回しがしやすいツイストペア(ヨリ対線)仕様です。  <br>■ 隣接するポートに干渉することがないスリムコネクタを採用しています。  <br>■ EUの「RoHS指令(電気・電子機器に対する特定有害物質の使用制限)」に準拠した環境にやさしい製品です。<br><br>【製品仕様】<br><br>■ カラー：ホワイト <br>■ 伝送速度：1Gbps <br>■ インターフェイス：RJ-45コネクター <br>■ 環境配慮事項：EU RoHS指令準拠 <br>■ 規格：Cat6準拠(10BASE-T/100BASE-TX/1000BASE-T/1000BASE-TX準拠) <br>■ 伝送帯域：250MHz <br>■ ケーブル長：5m <br>■ 結線方式：ストレート結線 <br>■ ヨリ対芯線(ツイストペアケーブル)：○ <br>■ 十字介材：○ <br>■ 外部シース(被膜)材質：PVC <br>■ 導体構成：ヨリ線 <br>■ コネクタ有無：両端コネクター付 <br>■ スリムコネクタ：○ <br>■ 爪の折れないコネクタ：○ <br>■ 爪折れ防止カバー付コネクタ：○ <br>■ パッケージ形態：アルミ箔袋+ステッカー <br>■ ケーブル太さ：4.2mm <br>■ 芯数：8芯 <br>■ モールド加工コネクタ：○,エレコムカテゴリー6対応 やわらかLANケーブル ツメ折れ防止 （ホワイト・5m） LD-C6YT/WH50 (LDC6YTWH50)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンエレコムカテゴリー6対応 やわらかLANケーブル ツメ折れ防止 （ホワイト・5m） LD-C6YT/WH50 (LDC6YTWH50),エレコムカテゴリー6対応 やわらかLANケーブル ツメ折れ防止 （ホワイト・5m） LD-C6YT/WH50 (LDC6YTWH50)[rn]
19-197120,http://tshop.r10s.jp/akibamac/cabinet/04804232/4951241133988.jpg?fitin=700:700,360.0000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > LANケーブル,ミヨシカテゴリー6対応 スリムクロスLANケーブル (白・0.5m) TWT-H65WH (TWTH65WH),,超高速！ギガビット対応、カテゴリー6規格準拠,ミヨシカテゴリー6対応 スリムクロスLANケーブル (白・0.5m) TWT-H65WH (TWTH65WH)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンミヨシカテゴリー6対応 スリムクロスLANケーブル (白・0.5m) TWT-H65WH (TWTH65WH),ミヨシカテゴリー6対応 スリムクロスLANケーブル (白・0.5m) TWT-H65WH (TWTH65WH)[rn]
19-197121,http://tshop.r10s.jp/akibamac/cabinet/05264069/4953103292574.jpg?fitin=700:700,496.0000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > LANケーブル,エレコムカテゴリー6対応 フラットLANケーブル （黒・0.5m） LD-C6FT/BK05 (LDC6FTBK05),,〔LANケーブル〕<br>プロテクタと新素材コネクタ採用のダブル構造で通常の使用環境では絶対にツメが折れない！<br>※周波数帯域250MHzを保証するギガビット・イーサネットに対応。<br>薄さ1.4mmで設置場所を選ばないカテゴリー6に準拠したフラットタイプのLANケーブル。<br>※1000回の屈曲検査に合格(エレコム社検証)<br><br>■  ツメ折れ防止プロテクタと屈曲に対する耐久性が高い新素材コネクタを採用したダブル構造で、通常の使用環境では絶対にツメが折れないLANケーブルです。※1000回の屈曲検査に合格(当社検証)  <br>■  ツメ折れによるケーブルの脱落が防げ、長期にわたってしっかりとLANポートに固定することができます。  <br>■  1000BASE-TXや1000BASE-Tといったギガビットでも、安定したネットワーク環境を実現するカテゴリー6に準拠しています。  <br>■  周波数帯域250MHzを保証し、ギガビット・イーサネットの高速通信に最適です。  <br>■  カーペットの下やドアの隙間に配線できる薄さ約1.4mm、幅約6.4mmのフラットタイプです。  <br>■  十字介在をなくしたツイストペア(ヨリ対線)仕様なので、柔らかく取り回しが簡単で、狭い場所での敷設も容易です。  <br>■  隣接するポートに干渉することがないスリムコネクタを採用しています。  <br>■  EUの「RoHS指令(電気・電子機器に対する特定有害物質の使用制限)」に準拠した環境にやさしい製品です。<br><br>【製品仕様】<br><br>■ カラー：ブラック <br>■ 伝送速度：1Gbps <br>■ インターフェイス：RJ-45コネクター <br>■ 環境配慮事項：EU RoHS指令準拠 <br>■ 規格：Cat6準拠(10BASE-T/100BASE-TX/1000BASE-T/1000BASE-TX準拠) <br>■ 伝送帯域：250MHz <br>■ ケーブル長：0.5m <br>■ 結線方式：ストレート結線 <br>■ ヨリ対芯線(ツイストペアケーブル)：○ <br>■ 外部シース(被膜)材質：PVC <br>■ 導体構成：ヨリ線 <br>■ コネクタ有無：両端コネクター付 <br>■ スリムコネクタ：○ <br>■ 爪の折れないコネクタ：○ <br>■ 爪折れ防止カバー付コネクタ：○ <br>■ パッケージ形態：アルミ箔袋+ステッカー <br>■ ケーブル太さ：薄さ約1.4mm、幅約6.4mm <br>■ 芯数：8芯 <br>■ モールド加工コネクタ：○,エレコムカテゴリー6対応 フラットLANケーブル （黒・0.5m） LD-C6FT/BK05 (LDC6FTBK05)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンエレコムカテゴリー6対応 フラットLANケーブル （黒・0.5m） LD-C6FT/BK05 (LDC6FTBK05),エレコムカテゴリー6対応 フラットLANケーブル （黒・0.5m） LD-C6FT/BK05 (LDC6FTBK05)[rn]
19-197122,http://tshop.r10s.jp/akibamac/cabinet/03927892/4953103418523.jpg?fitin=700:700,489.6000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > LANケーブル,エレコムカテゴリー6対応 LANケーブル ギガビットイーサネット対応 （ブルー・7.0m） LD-GPN/BU7 (LDGPNBU7),,"［CAT6、7.0m、ブルー］
ギガビット・イーサネットの高速通信に最適なカテゴリー6に対応した、スタンダードなLANケーブル。",エレコムカテゴリー6対応 LANケーブル ギガビットイーサネット対応 （ブルー・7.0m） LD-GPN/BU7 (LDGPNBU7)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンエレコムカテゴリー6対応 LANケーブル ギガビットイーサネット対応 （ブルー・7.0m） LD-GPN/BU7 (LDGPNBU7),エレコムカテゴリー6対応 LANケーブル ギガビットイーサネット対応 （ブルー・7.0m） LD-GPN/BU7 (LDGPNBU7)[rn]
19-197123,http://tshop.r10s.jp/akibamac/cabinet/01800109/4930393901546.jpg?fitin=700:700,535.2000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > LANケーブル,ＨＡＲＭＯＮＥＴカテゴリ6準拠 LANケーブル BRAID（3m・ハーモネットブルー）　HLC-BD6-3MP-HB,,◆触感を大切に手で感じる質感。日本人が大切にする感覚をケーブルに表現しました。◆たおやかさという品質使う人の完成にまでも訴えたい。ハーモネットはやわらかさも風合いも大切な品質だと考えています。◆独自のカラー・デザイン長い歳月を掛けて製品開発を重ね、幾通りものカラーパターン・トライアルを繰返してBRAIDは生まれました。◆モバイラビリティを追求したSTRACAP持ち運ぶときにはパチンとキャップ、プラグのツメをしっかりプロテクト。はずした時にはストラップで紛失を防いでくれ、取り外しも自在です。◆カテゴリー6/10000BASE-TXに準拠ここまでのディティールにこだわりながらも、しっかりカテゴリー6のパフォーマンスにつくりあげました。,ＨＡＲＭＯＮＥＴカテゴリ6準拠 LANケーブル BRAID（3m・ハーモネットブルー）　HLC-BD6-3MP-HB：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンＨＡＲＭＯＮＥＴカテゴリ6準拠 LANケーブル BRAID（3m・ハーモネットブルー）　HLC-BD6-3MP-HB,ＨＡＲＭＯＮＥＴカテゴリ6準拠 LANケーブル BRAID（3m・ハーモネットブルー）　HLC-BD6-3MP-HB[rn]
19-197124,http://tshop.r10s.jp/akibamac/cabinet/05264069/4969887817520.jpg?fitin=700:700,252.8000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > LANケーブル,サンワサプライKB-SL6-01BL(カテゴリ6 ストレート 極細LANケーブル/ブルー/1m) (KBSL601BL),,●ギガビットイーサネットに対応したカテゴリ6準拠のLANケーブルです。●直径わずか3.2mmの極細タイプで取り回しが良く、狭い場所や限られた空間の配線に大変便利です。●パソコン-モデム間に最適な長さです。●エンハンスドカテゴリ5の2.5倍の伝送帯域250MHz、伝送速度1000Mbps（1Gbps）を実現しています。●コネクタの爪が折れにくいラッチ保護カバー付きです。●RoHS指令に準拠した製品です。,サンワサプライKB-SL6-01BL(カテゴリ6 ストレート 極細LANケーブル/ブルー/1m) (KBSL601BL)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンサンワサプライKB-SL6-01BL(カテゴリ6 ストレート 極細LANケーブル/ブルー/1m) (KBSL601BL),サンワサプライKB-SL6-01BL(カテゴリ6 ストレート 極細LANケーブル/ブルー/1m) (KBSL601BL)[rn]
19-197125,http://tshop.r10s.jp/akibamac/cabinet/03659710/4969887565735.jpg?fitin=700:700,2864.0000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > LANケーブル,サンワサプライ KB-T6TS-30 カテゴリ6対応つめ折れ防止LANケーブル(ストレート/30m/ライトグレー) (KBT6TS30),,ツメが折れない三重構造コネクタ採用、ギガビットイーサネット完全対応カテゴリ6LANケーブル。,サンワサプライ KB-T6TS-30 カテゴリ6対応つめ折れ防止LANケーブル(ストレート/30m/ライトグレー) (KBT6TS30)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンサンワサプライ KB-T6TS-30 カテゴリ6対応つめ折れ防止LANケーブル(ストレート/30m/ライトグレー) (KBT6TS30),サンワサプライ KB-T6TS-30 カテゴリ6対応つめ折れ防止LANケーブル(ストレート/30m/ライトグレー) (KBT6TS30)[rn]
19-197126,http://tshop.r10s.jp/akibamac/cabinet/03927892/4969887818817.jpg?fitin=700:700,733.6000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > LANケーブル,サンワサプライKB-FLU7-02W(カテゴリ7/ウルトラフラットLANケーブル/2m/ホワイト) (KBFLU702W),,10GBASE完全対応。耐ノイズで1.9mmの薄さを実現したカテゴリ7対応のウルトラフラットLANケーブル。2m・ホワイト。,サンワサプライKB-FLU7-02W(カテゴリ7/ウルトラフラットLANケーブル/2m/ホワイト) (KBFLU702W)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンサンワサプライKB-FLU7-02W(カテゴリ7/ウルトラフラットLANケーブル/2m/ホワイト) (KBFLU702W),サンワサプライKB-FLU7-02W(カテゴリ7/ウルトラフラットLANケーブル/2m/ホワイト) (KBFLU702W)[rn]
19-197127,http://tshop.r10s.jp/akibamac/cabinet/03659710/4969887566008.jpg?fitin=700:700,448.8000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > LANケーブル,サンワサプライ KB-T6TS-03R カテゴリ6対応つめ折れ防止LANケーブル(ストレート/3m/レッド) (KBT6TS03R),,ツメが折れない三重構造コネクタ採用、ギガビットイーサネット完全対応カテゴリ6LANケーブル。,サンワサプライ KB-T6TS-03R カテゴリ6対応つめ折れ防止LANケーブル(ストレート/3m/レッド) (KBT6TS03R)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンサンワサプライ KB-T6TS-03R カテゴリ6対応つめ折れ防止LANケーブル(ストレート/3m/レッド) (KBT6TS03R),サンワサプライ KB-T6TS-03R カテゴリ6対応つめ折れ防止LANケーブル(ストレート/3m/レッド) (KBT6TS03R)[rn]
19-197128,http://tshop.r10s.jp/akibamac/cabinet/03140835/4969887841730.jpg?fitin=700:700,208.0000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > LANケーブル,サンワサプライLA-SL6-01BL カテゴリー6対応 LANケーブル （ブルー・1.0m） (LASL601BL),,直径3.8mmの極細タイプ、爪折れ防止カバー付きギガビット対応カテゴリ6 LANケーブル。［CAT6、1.0m、ブルー］,サンワサプライLA-SL6-01BL カテゴリー6対応 LANケーブル （ブルー・1.0m） (LASL601BL)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンサンワサプライLA-SL6-01BL カテゴリー6対応 LANケーブル （ブルー・1.0m） (LASL601BL),サンワサプライLA-SL6-01BL カテゴリー6対応 LANケーブル （ブルー・1.0m） (LASL601BL)[rn]
19-197129,http://tshop.r10s.jp/akibamac/cabinet/03145114/4969887817469.jpg?fitin=700:700,422.4000,,パソコン・周辺機器 > PCアクセサリー > ケーブル > LANケーブル,サンワサプライ KB-SL6-03(カテゴリ6 ストレート 極細LANケーブル/ライトグレー/3m) (KBSL603),,直径3.2mmの極細タイプ、ギガビットイーサネット対応カテゴリ6LANケーブル,サンワサプライ KB-SL6-03(カテゴリ6 ストレート 極細LANケーブル/ライトグレー/3m) (KBSL603)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンサンワサプライ KB-SL6-03(カテゴリ6 ストレート 極細LANケーブル/ライトグレー/3m) (KBSL603),サンワサプライ KB-SL6-03(カテゴリ6 ストレート 極細LANケーブル/ライトグレー/3m) (KBSL603)[rn]
