18-28001,http://tshop.r10s.jp/voice/cabinet/carlpunch/89022-0.jpg?fitin=700:700,576.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ＤＥＣＯＰ　デコップ　モザイクパンチ　＃１０６　～スクラップブッキングやペーパークラフトに～,　,"パチンと押すだけで使い方はとっても簡単。<br>
パンチできる厚みは、コピー用紙２枚程度です<BR>
<BR>
スクラップブッキングやオリジナルカード作りに最適です<BR>
パンチ本体のサイズ：高約70×幅54×80mm<br>
デザインのサイズ：約22ｘ22ｍｍ<br>
<br>

<img src=""http://image.rakuten.co.jp/voice/cabinet/carlpunch/punch_oyomikudasai.jpg""><br><br>
●「エンボスパンチ」　その他種類はこちらから<br>
<br>
＜その他のDECOPシリーズはこちら＞<br>
●「DOCODEMO PUNCH」　マグネットで上下が分かれる<br>
●「BIG2」　BIG3よりも一回り小さなサイズ<br>
●「BIG3」　大きいサイズで使い方いろいろ",ＤＥＣＯＰ　デコップ　モザイクパンチ　＃１０６　～スクラップブッキングやペーパークラフトに～：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ＤＥＣＯＰ　デコップ　モザイクパンチ　＃１０６　～スクラップブッキングやペーパークラフトに～,　。ＤＥＣＯＰ　デコップ　モザイクパンチ　＃１０６　～スクラップブッキングやペーパークラフトに～[rn]
18-28002,http://tshop.r10s.jp/voice/cabinet/carlpunch/00212-8_1.jpg?fitin=700:700,576.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ＤＥＣＯＰ　デコップ　エンボスパンチ　＜ペタル１＞　～スクラップブッキングやペーパークラフトに～,　,"エンボスしながらカットが同時にできるエンボスパンチです。<br>
パチンと押すだけで使い方はとっても簡単。<br>
パンチできる厚みは、コピー用紙２枚程度です。<br>
スクラップブッキングやオリジナルカード作りに最適です。 <br>
※こちらの商品はエンボス加工が深いため、カット後のペーパーが取り出しにくい場合があります。<br>
パンチ後のペーパーは１回ずつ取り除いてください。<br>
取りにくい場合は、カッターの背などの細いものを使い、傷がつかないよう注意してください。<br>
ペーパーを取り除かず、連続使用すると故障の原因となります。<br>
<br>
デザインのサイズ：直径約32ｍｍ<br>
■適正用紙厚：コピー用紙2枚程度<br>
　　　　　　四六判　120kg程度<br>

<img src=""http://image.rakuten.co.jp/voice/cabinet/carlpunch/punch_oyomikudasai.jpg""><br><br>
●「エンボスパンチ」　その他種類はこちらから<br>
<br>
＜その他のDECOPシリーズはこちら＞<br>
●「DOCODEMO PUNCH」　マグネットで上下が分かれる<br>
●「BIG2」　BIG3よりも一回り小さなサイズ<br>
●「BIG3」　大きいサイズで使い方いろいろ",ＤＥＣＯＰ　デコップ　エンボスパンチ　＜ペタル１＞　～スクラップブッキングやペーパークラフトに～：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ＤＥＣＯＰ　デコップ　エンボスパンチ　＜ペタル１＞　～スクラップブッキングやペーパークラフトに～,　。ＤＥＣＯＰ　デコップ　エンボスパンチ　＜ペタル１＞　～スクラップブッキングやペーパークラフトに～[rn]
18-28003,http://tshop.r10s.jp/voice/cabinet/carlpunch/005693_02.jpg?fitin=700:700,1010.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【NEW!】クラフトパンチ　DECOP デコップどこでもパンチ＜スキャロップサークル＞　DOCODEMO PUNCH,紙の真ん中にもパンチできる！,"<table width=""100%"" bgcolor=""#cccccc"" cellspacing=""1"" cellpadding=""3""><tr><th colspan=""2"" align=""center"" bgcolor=""#f0f0f0""><b>
<font color=""#666666"">商品詳細</font></b></th></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" 
color=""#666666"">説明</font></th><td width=""344"" bgcolor=""#ffffff"">マグネット式なので紙を上下のパーツにはさんで上から押すだけで紙のどこにでもパンチすることができます。<br>
  いちいち紙をカットする手間がかかりません。<br>
  パンチを裏返して切る場所を見ながら作業できるのも嬉しいところ。<br>
  側面のくぼみの目印を上下合わせればマグネットが固定されます。</td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0"">
<font size=""2"" color=""#666666"">サイズ</font></th><td width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">
外装サイズ:W62×H64×D42mm<br />本体サイズ:W57×H57×D39mm<br />抜いたスキャロップサークルのサイズ:縦35×横35mm</font></td></tr><tr><th 
width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">おしらせ</font></th><td width=""344"" bgcolor=""#ffffff"">
<font size=""2"" color=""#333333"">本製品は紙専用型抜きパンチです。<br />適性の紙の厚みは0.18mm程度（120g/m2）<br />
厚口の上質紙程度です。<br /></font></td></tr></table>

<img src=""http://image.rakuten.co.jp/voice/cabinet/carlpunch/cutpaper_l.jpg""><br>
パンチに最適な、カットペーパーも販売中です。
<center><img src=""http://www.rakuten.ne.jp/gold/voice/smp/images/item/sumaou_voice_10031772.jpg?1475298409"" width=""100%""></center><br>

<br>
＜その他のDECOPシリーズはこちら＞<br>
●「エンボスパンチ」　エンボスで豪華なパーツが完成 <br>
●「BIG2」　BIG3よりも一回り小さなサイズ<br>
●「BIG3」　大きいサイズで使い方いろいろ",【NEW!】クラフトパンチ　DECOP デコップどこでもパンチ＜スキャロップサークル＞　DOCODEMO PUNCH：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【NEW!】クラフトパンチ　DECOP デコップどこでもパンチ＜スキャロップサークル＞　DOCODEMO PUNCH,紙の真ん中にもパンチできる！。【NEW!】クラフトパンチ　DECOP デコップどこでもパンチ＜スキャロップサークル＞　DOCODEMO PUNCH[rn]
18-28004,http://tshop.r10s.jp/voice/cabinet/carlpunch/005709_02.jpg?fitin=700:700,1010.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【NEW!】クラフトパンチ　DECOP デコップどこでもパンチ＜スキャロップオーバル（だえん）＞　DOCODEMO PUNCH,紙の真ん中にもパンチできる！,"<table width=""100%"" bgcolor=""#cccccc"" cellspacing=""1"" cellpadding=""3""><tr><th colspan=""2"" align=""center"" bgcolor=""#f0f0f0""><b>
<font color=""#666666"">商品詳細</font></b></th></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" 
color=""#666666"">説明</font></th><td width=""344"" bgcolor=""#ffffff"">マグネット式なので紙を上下のパーツにはさんで上から押すだけで紙のどこにでもパンチすることができます。<br>
  いちいち紙をカットする手間がかかりません。<br>
  パンチを裏返して切る場所を見ながら作業できるのも嬉しいところ。<br>
  側面のくぼみの目印を上下合わせればマグネットが固定されます。</td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0"">
<font size=""2"" color=""#666666"">サイズ</font></th><td width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">
外装サイズ:W62×H64×D42mm<br />本体サイズ:W57×H57×D39mm<br />抜いたスキャロップオーバルのサイズ:縦27×横36mm</font></td></tr><tr><th 
width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">おしらせ</font></th><td width=""344"" bgcolor=""#ffffff"">
<font size=""2"" color=""#333333"">本製品は紙専用型抜きパンチです。<br />適性の紙の厚みは0.18mm程度（120g/m2）<br />
厚口の上質紙程度です。<br />
このパンチのスキャロップ模様は、<br>
上下に比べて横の部分がやや浅いデザインとなっております。<br>
不良ではございませんので、ご了承ください。<br>
</font></td></tr></table>

<img src=""http://image.rakuten.co.jp/voice/cabinet/carlpunch/cutpaper_l.jpg""><br>
パンチに最適な、カットペーパーも販売中です。
<center><img src=""http://www.rakuten.ne.jp/gold/voice/smp/images/item/sumaou_voice_10031772.jpg?1475298409"" width=""100%""></center><br>

<br>
＜その他のDECOPシリーズはこちら＞<br>
●「エンボスパンチ」　エンボスで豪華なパーツが完成 <br>
●「BIG2」　BIG3よりも一回り小さなサイズ<br>
●「BIG3」　大きいサイズで使い方いろいろ",【NEW!】クラフトパンチ　DECOP デコップどこでもパンチ＜スキャロップオーバル（だえん）＞　DOCODEMO PUNCH：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【NEW!】クラフトパンチ　DECOP デコップどこでもパンチ＜スキャロップオーバル（だえん）＞　DOCODEMO PUNCH,紙の真ん中にもパンチできる！。【NEW!】クラフトパンチ　DECOP デコップどこでもパンチ＜スキャロップオーバル（だえん）＞　DOCODEMO PUNCH[rn]
18-28005,http://tshop.r10s.jp/voice/cabinet/carlpunch/89013-8.jpg?fitin=700:700,576.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ＤＥＣＯＰ　デコップ　エンボスパンチ　『フラワー4』　～スクラップブッキングやペーパークラフトに～,　,"エンボスしながらカットが同時にできるエンボスパンチです。<br>
パチンと押すだけで使い方はとっても簡単。<br>
パンチできる厚みは、コピー用紙２枚程度です<BR>
<BR>
スクラップブッキングやオリジナルカード作りに最適です<BR>
パンチ本体のサイズ：高約70×幅54×80mm<br>
カットした紙のサイズ：約31ｘ25ｍｍ<br>
<br>

<img src=""http://image.rakuten.co.jp/voice/cabinet/carlpunch/punch_oyomikudasai.jpg""><br><br>
●「エンボスパンチ」　その他種類はこちらから<br>
<br>
＜その他のDECOPシリーズはこちら＞<br>
●「DOCODEMO PUNCH」　マグネットで上下が分かれる<br>
●「BIG2」　BIG3よりも一回り小さなサイズ<br>
●「BIG3」　大きいサイズで使い方いろいろ",ＤＥＣＯＰ　デコップ　エンボスパンチ　『フラワー4』　～スクラップブッキングやペーパークラフトに～：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ＤＥＣＯＰ　デコップ　エンボスパンチ　『フラワー4』　～スクラップブッキングやペーパークラフトに～,　。ＤＥＣＯＰ　デコップ　エンボスパンチ　『フラワー4』　～スクラップブッキングやペーパークラフトに～[rn]
18-28006,http://tshop.r10s.jp/voice/cabinet/carlpunch/00283-8_2.jpg?fitin=700:700,978.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クラフトパンチ　「デコップ」　ビッグツーパンチ＜スキャロップサークル＞ DECOP BIG2,ビッグサイズにクラフトパンチしてアルバム作り！,"ペーパー用のクラフトパンチです。<br>
紙をはさんで、レバーを押すだけ。<br>
幼稚園、保育園でも大活躍！<br>
もちろんスクラップブッキングにも最適です。<br>
パンチを裏返して、切る場所を見ながら作業できるのもうれしいところ。<br>
<br>
■抜き型のサイズ：直径約50mm<br>
<br>
※開封検品済みのものをお送りする場合がございます。<br>
何卒ご了承くださいませ。<br>
<br>
パンチできる紙の厚さは、コピー用紙2枚程度です。<br>
折り紙などの薄いものをパンチしたいときには、<br>
別の不要な紙を重ねるとうまくいくことがございます。<br><br>
<br>
＜その他のDECOPシリーズはこちら＞<br>
●「エンボスパンチ」　エンボスで豪華なパーツが完成 <br>
●「DOCODEMO PUNCH」　マグネットで上下が分かれる <br>
●「BIG3」　大きなサイズで使い方色々",クラフトパンチ　「デコップ」　ビッグツーパンチ＜スキャロップサークル＞ DECOP BIG2：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クラフトパンチ　「デコップ」　ビッグツーパンチ＜スキャロップサークル＞ DECOP BIG2,ビッグサイズにクラフトパンチしてアルバム作り！。クラフトパンチ　「デコップ」　ビッグツーパンチ＜スキャロップサークル＞ DECOP BIG2[rn]
18-28007,http://tshop.r10s.jp/voice/cabinet/carlpunch/89001-5.jpg?fitin=700:700,418.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ＤＥＣＯＰ　デコップ　スリットパンチ　『スター』　～スクラップブッキングやペーパークラフトに～,　,"横スリットをいれたパンチです。<br>
パンチできる厚みは、コピー用紙２枚程度です<BR>
<BR>
スクラップブッキングやオリジナルカード作りに最適です<BR>
パンチ本体のサイズ：高さ約64×幅39×68<br>
デザインのサイズ：約18ｘ24ｍｍ<br>
<br>

<img src=""http://image.rakuten.co.jp/voice/cabinet/carlpunch/punch_oyomikudasai.jpg""><br><br>
●「エンボスパンチ」　その他種類はこちらから<br>
<br>
＜その他のDECOPシリーズはこちら＞<br>
●「DOCODEMO PUNCH」　マグネットで上下が分かれる<br>
●「BIG2」　BIG3よりも一回り小さなサイズ<br>
●「BIG3」　大きいサイズで使い方いろいろ",ＤＥＣＯＰ　デコップ　スリットパンチ　『スター』　～スクラップブッキングやペーパークラフトに～：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ＤＥＣＯＰ　デコップ　スリットパンチ　『スター』　～スクラップブッキングやペーパークラフトに～,　。ＤＥＣＯＰ　デコップ　スリットパンチ　『スター』　～スクラップブッキングやペーパークラフトに～[rn]
18-28008,http://tshop.r10s.jp/voice/cabinet/carlpunch/89020-6.jpg?fitin=700:700,576.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ＤＥＣＯＰ　デコップ　モザイクパンチ　＃１０３　～スクラップブッキングやペーパークラフトに～,　,"パチンと押すだけで使い方はとっても簡単。<br>
パンチできる厚みは、コピー用紙２枚程度です<BR>
<BR>
スクラップブッキングやオリジナルカード作りに最適です<BR>
パンチ本体のサイズ：高約70×幅54×80mm<br>
デザインのサイズ：約22ｘ22ｍｍ<br>
<br>

<img src=""http://image.rakuten.co.jp/voice/cabinet/carlpunch/punch_oyomikudasai.jpg""><br>
<br>
●「エンボスパンチ」　その他種類はこちらから<br>
<br>
＜その他のDECOPシリーズはこちら＞<br>
●「DOCODEMO PUNCH」　マグネットで上下が分かれる<br>
●「BIG2」　BIG3よりも一回り小さなサイズ<br>
●「BIG3」　大きいサイズで使い方いろいろ",ＤＥＣＯＰ　デコップ　モザイクパンチ　＃１０３　～スクラップブッキングやペーパークラフトに～：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ＤＥＣＯＰ　デコップ　モザイクパンチ　＃１０３　～スクラップブッキングやペーパークラフトに～,　。ＤＥＣＯＰ　デコップ　モザイクパンチ　＃１０３　～スクラップブッキングやペーパークラフトに～[rn]
18-28009,http://tshop.r10s.jp/voice/cabinet/carlpunch/00279-1_2.jpg?fitin=700:700,978.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,クラフトパンチ　「デコップ」　ビッグツーパンチ＜リーフ＞　 DECOP BIG2,ビッグサイズにクラフトパンチしてアルバム作り！,"ペーパー用のクラフトパンチです。<br>
紙をはさんで、レバーを押すだけ。<br>
幼稚園、保育園でも大活躍！<br>
もちろんスクラップブッキングにも最適です。<br>
パンチを裏返して、切る場所を見ながら作業できるのも
      うれしいところ。<br>
<br>
＜SPEC＞<br>
抜き型のサイズ：約25×50mm<br>
<br>
＜知っておいていただきたいこと＞<br>
パンチできる紙の厚さは、コピー用紙2枚程度です。<br>
      折り紙などの薄いものをパンチしたいときには、別の<br>
不要な紙を重ねるとうまくいくことがございます。<br>
<br>
＜その他のDECOPシリーズはこちら＞<br>
●「エンボスパンチ」　エンボスで豪華なパーツが完成 <br>
●「DOCODEMO PUNCH」　マグネットで上下が分かれる <br>
●「BIG3」　大きなサイズで使い方色々",クラフトパンチ　「デコップ」　ビッグツーパンチ＜リーフ＞　 DECOP BIG2：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨クラフトパンチ　「デコップ」　ビッグツーパンチ＜リーフ＞　 DECOP BIG2,ビッグサイズにクラフトパンチしてアルバム作り！。クラフトパンチ　「デコップ」　ビッグツーパンチ＜リーフ＞　 DECOP BIG2[rn]
18-28010,http://tshop.r10s.jp/voice/cabinet/carlpunch/005686_02.jpg?fitin=700:700,1010.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【NEW!】クラフトパンチ　DECOP デコップどこでもパンチ＜スター＞　DOCODEMO PUNCH,紙の真ん中にもパンチできる！,"<table width=""100%"" bgcolor=""#cccccc"" cellspacing=""1"" cellpadding=""3""><tr><th colspan=""2"" align=""center"" bgcolor=""#f0f0f0""><b>
<font color=""#666666"">商品詳細</font></b></th></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" 
color=""#666666"">説明</font></th><td width=""344"" bgcolor=""#ffffff"">マグネット式なので紙を上下のパーツにはさんで上から押すだけで紙のどこにでもパンチすることができます。<br>
  いちいち紙をカットする手間がかかりません。<br>
  パンチを裏返して切る場所を見ながら作業できるのも嬉しいところ。<br>
  側面のくぼみの目印を上下合わせればマグネットが固定されます。</td></tr><tr><th width=""94"" align=""center"" bgcolor=""#f0f0f0"">
<font size=""2"" color=""#666666"">サイズ</font></th><td width=""344"" bgcolor=""#ffffff""><font size=""2"" color=""#333333"">
外装サイズ:W62×H64×D42mm<br />本体サイズ:W57×H57×D39mm<br />抜いた星のサイズ:縦34×横36mm</font></td></tr><tr><th 
width=""94"" align=""center"" bgcolor=""#f0f0f0""><font size=""2"" color=""#666666"">おしらせ</font></th><td width=""344"" bgcolor=""#ffffff"">
<font size=""2"" color=""#333333"">本製品は紙専用型抜きパンチです。<br />適性の紙の厚みは0.18mm程度（120g/m2）<br />
厚口の上質紙程度です。<br /></font></td></tr></table>

<img src=""http://image.rakuten.co.jp/voice/cabinet/carlpunch/cutpaper_l.jpg""><br>
パンチに最適な、カットペーパーも販売中です。
<center><img src=""http://www.rakuten.ne.jp/gold/voice/smp/images/item/sumaou_voice_10031772.jpg?1475298409"" width=""100%""></center>

<br>

<br>
＜その他のDECOPシリーズはこちら＞<br>
●「エンボスパンチ」　エンボスで豪華なパーツが完成 <br>
●「BIG2」　BIG3よりも一回り小さなサイズ<br>
●「BIG3」　大きいサイズで使い方いろいろ",【NEW!】クラフトパンチ　DECOP デコップどこでもパンチ＜スター＞　DOCODEMO PUNCH：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【NEW!】クラフトパンチ　DECOP デコップどこでもパンチ＜スター＞　DOCODEMO PUNCH,紙の真ん中にもパンチできる！。【NEW!】クラフトパンチ　DECOP デコップどこでもパンチ＜スター＞　DOCODEMO PUNCH[rn]
